Unnamed: 0,User_ID,Age,Gender,Location,Income,Interests,Last_Login_Days_Ago,Purchase_Frequency,Average_Order_Value,Total_Spending,Product_Category_Preference,Time_Spent_on_Site_Minutes,Pages_Viewed,Newsletter_Subscription,Time_Spent_Score,Pages_Viewed_Score,Intent_Score,Conversion_Friction,Active_Connection,Purchase_Power,R_Score,F_Score,M_Score,RFM_Score,User_Segment
0,#1,56,Male,Suburban,38037,Sports,5,7,18,2546,Books,584,38,True,0.9748743718592965,0.7708333333333333,0.8728538525963149,4.75,3,低收入,4,4,3,11,重要价值客户
1,#2,46,Female,Rural,103986,Technology,15,7,118,320,Electronics,432,40,False,0.7202680067001676,0.8124999999999999,0.7663840033500837,5.0,1,中高收入,2,4,1,7,纠结土豪
2,#3,32,Female,Suburban,101942,Sports,28,1,146,3766,Apparel,306,1,True,0.509212730318258,0.0,0.254606365159129,0.5,1,中高收入,0,1,4,5,沉睡客户
3,#4,60,Female,Suburban,71612,Fashion,18,3,163,4377,Apparel,527,29,False,0.8793969849246231,0.5833333333333333,0.7313651591289783,7.25,1,中低收入,2,2,5,9,沉睡客户
4,#5,25,Male,Suburban,49725,Travel,2,5,141,4502,Health & Beauty,53,10,True,0.08542713567839195,0.18749999999999997,0.13646356783919597,1.6666666666666667,3,中低收入,4,3,5,12,重要价值客户
5,#6,38,Male,Suburban,25926,Travel,22,8,25,2669,Books,520,28,False,0.8676716917922949,0.5624999999999999,0.7150858458961473,3.111111111111111,1,低收入,1,4,3,8,高潜流失客
6,#7,56,Male,Urban,124555,Fashion,11,7,152,1113,Home & Kitchen,330,31,True,0.5494137353433837,0.6249999999999999,0.5872068676716917,3.875,1,高收入,3,4,2,9,潜力客户
7,#8,36,Male,Urban,29496,Technology,26,7,108,2151,Apparel,558,19,True,0.9313232830820771,0.375,0.6531616415410386,2.375,1,低收入,0,4,3,7,高潜流失客
8,#9,40,Male,Rural,76447,Travel,25,6,130,4085,Books,325,3,True,0.5410385259631492,0.04166666666666667,0.2913525963149079,0.42857142857142855,1,中低收入,0,3,5,8,高潜流失客
9,#10,28,Male,Urban,121604,Food,13,8,61,4999,Electronics,114,36,False,0.18760469011725292,0.7291666666666666,0.45838567839195976,4.0,1,高收入,3,4,5,12,重要价值客户
10,#11,28,Male,Urban,49806,Travel,4,1,78,4410,Health & Beauty,147,43,True,0.24288107202680068,0.8749999999999999,0.5589405360134003,21.5,3,中低收入,4,1,5,10,普通用户
11,#12,41,Male,Rural,108199,Food,22,2,14,3119,Electronics,166,15,False,0.27470686767169183,0.2916666666666667,0.28318676716917923,5.0,1,中高收入,1,1,4,6,沉睡客户
12,#13,53,Female,Rural,61321,Fashion,7,9,29,3781,Apparel,379,33,True,0.6314907872696818,0.6666666666666666,0.6490787269681741,3.3,3,中低收入,4,5,4,13,核心VIP
13,#14,57,Female,Rural,142041,Fashion,29,7,88,1543,Apparel,139,41,True,0.22948073701842545,0.8333333333333333,0.5314070351758794,5.125,1,高收入,0,4,2,6,普通用户
14,#15,41,Male,Urban,122031,Travel,11,5,155,4296,Electronics,299,43,False,0.4974874371859297,0.8749999999999999,0.6862437185929648,7.166666666666667,1,高收入,3,3,5,11,重要价值客户
15,#16,20,Male,Urban,85095,Sports,22,9,120,3110,Apparel,276,45,True,0.45896147403685095,0.9166666666666666,0.6878140703517588,4.5,1,中高收入,1,5,4,10,高潜流失客
16,#17,39,Female,Rural,42656,Food,24,8,11,672,Books,178,26,False,0.2948073701842546,0.5208333333333333,0.40782035175879394,2.888888888888889,1,中低收入,1,4,1,6,普通用户
17,#18,19,Male,Suburban,75147,Technology,4,9,102,1432,Apparel,354,16,False,0.5896147403685092,0.3125,0.4510573701842546,1.6,2,中低收入,4,5,2,11,潜力客户
18,#19,41,Male,Rural,111396,Travel,28,3,22,4853,Health & Beauty,154,36,False,0.254606365159129,0.7291666666666666,0.4918865159128978,9.0,1,中高收入,0,2,5,7,沉睡客户
19,#20,61,Male,Suburban,69666,Technology,15,7,13,4102,Books,201,33,False,0.33333333333333337,0.6666666666666666,0.5,4.125,1,中低收入,2,4,5,11,高潜流失客
20,#21,47,Female,Suburban,102368,Travel,1,9,179,3234,Home & Kitchen,115,20,True,0.18927973199329984,0.3958333333333333,0.2925565326633166,2.0,3,中高收入,4,5,4,13,核心VIP
21,#22,55,Female,Rural,58787,Sports,23,2,118,4186,Apparel,554,13,True,0.9246231155778895,0.24999999999999997,0.5873115577889447,4.333333333333333,1,中低收入,1,1,5,7,沉睡客户
22,#23,19,Female,Rural,133767,Sports,3,2,83,325,Apparel,68,33,False,0.11055276381909547,0.6666666666666666,0.38860971524288107,11.0,2,高收入,4,1,1,6,新客户
23,#24,38,Female,Rural,82946,Sports,14,7,198,4300,Health & Beauty,445,5,True,0.7420435510887773,0.08333333333333333,0.41268844221105533,0.625,1,中高收入,2,4,5,11,高潜流失客
24,#25,50,Female,Urban,41727,Sports,6,4,104,2097,Health & Beauty,445,37,True,0.7420435510887773,0.7499999999999999,0.7460217755443885,7.4,3,中低收入,4,2,3,9,潜力客户
25,#26,29,Male,Suburban,128351,Fashion,18,2,114,871,Electronics,326,14,False,0.542713567839196,0.2708333333333333,0.4067734505862647,4.666666666666667,1,高收入,2,1,1,4,普通用户
26,#27,39,Female,Urban,115081,Fashion,25,9,17,4624,Electronics,359,27,True,0.5979899497487438,0.5416666666666666,0.5698283082077051,2.7,1,中高收入,0,5,5,10,高潜流失客
